years,singers,songs,lyrics
1999,조성모,For Your Soul (슬픈 영혼식),아마 오셨을텐데 우릴 위해 축복해 줄 사람들 그냥 그렇게 믿어 우리밖에 없다고 여기면 안돼 이제 서약해야 해일생동안 사랑하겠노라고넌 대답 안해도 돼 내가 두 번 말하면 되니까 눈물 흘린 거니 내품에 안은 니 사진이 젖었어왜 좋은 날에 울어 너까지이제 마지막 니 소원이었었잖아너 가는 길에 보내 주려해널 위한 이 반지 잃어 버리지마손에 꼭 쥐고 가 언제가 니곁에 가게 되는날그때 내가 너의 손에 끼울게넌 마음 편히 먼저가 이제 가는 거니쓸쓸한 바람소리 문득 들렸어나 없이 먼길 혼자 갈수 있겠니그 길에 나 데려가면 안되니첫 눈오거나 비오는 밤엔 가끔씩 들려줘해마다 오늘은 꼭 다녀가야해 나의 창가에 나의 꿈 속에잠시라도 너 가는 길에 보내 주려해널 위한 이 반지 잃어버리지마손에 꼭 쥐고 가 언젠가 니곁에 가게 되는날그때 내가 너의 손에 끼울게나 늦더라도 기다려
1999,이승철,오직 너뿐인 나를…,아직도 널 잊지 못해 이유 없는 울음 삼키고 애써 기다린 그대 지우려하네 어두웠던 지난 겨울비 내린 그날 밤 이젠 잊은듯한 눈길이 다가와 사랑해 너무 사랑했었어 널 위해 살아온 날 잊진 말아줘 널 보며 너를 기다려 오며 너만을 그리워한 오직 너뿐인 나를 기억해줘 그렇게 지나온 시간속에 넌 아마 날 잊어버린채 애써 행복한 듯한 눈빛을 보이지 울어도 괜찮아 내게로 와 너를 위해 남겨진 내 품안으로 아직 난 널 사랑해 사랑해 너무 사랑했었어 널 위해 살아온 날 잊진 말아줘 널 보며 너를 기다려오며 너만을 그리워한 오직 너뿐인 나를 기억해줘 어느날 난 너 떠난 오랜후에 이별의 아픔을 홀로된 느낌을 마르지않는 슬픔을사랑해 너무 사랑했었어 널 위해 살아온 날 잊진 말아줘 널 보며 너를 기다려오며 너만을 그리워 한 오직 너뿐인 나를오직 너뿐인 나를오직 너뿐인 나를기억해줘 기억해줘
1999,양파,A'ddio,그대 뒤에서 항상 바라만 보네요 나의 오해가 깊어 남은건 이별뿐 처음부터 왜 내게 얘기하지 못했었나요 산다는 건 그조차 그대에겐 힘이 들었다는걸 사랑이 그대에겐 사치라고 느껴졌나요 시리도록 차가운 그대 그 눈물을 이제야 알아요 모든걸 되돌릴수 없다면 나를 용서해요 조금더 일찍 그대맘을 헤아리지 못한 나를 눈을 감아도 이젠그대가 보여요 나의 사랑이 깊어 남은건 그리움 그대곁에 맴도는 나를 느낄수가 있나요 나마저 짐이될까 그저 망설일 뿐이예요 우리의 헤어짐이 어쩔수 없는 것이라면 이것만은 말해주어요 이별이 슬프지 않도록 그대가 날보내고 떠나가는 것이 아니라 조금더 깊이 그대 맘에 묻어 두려 했다는걸 우리의 헤어짐이 어쩔수 없는것이라면 이것만은 말해주어요 이별이 슬프지 않도록 그대가 날보내고 떠나가는 것이 아니라 조금더 깊이 그대 맘에 묻어 두려 했다는걸
1999,K2 김성면,그녀의 연인에게... #Story Ⅰ,알고 있나요 지금 그대 가진 행복 내겐 아픈 이별이란걸 그녀가 나를 떠나가기 전에 나도 그대 처럼 행복 할수 있었죠 설레임이 가득한 그대 하루만큼 나의 하룬 길고 외로워 어쩌면 나는 바랬는지 몰라 두 사람의 사랑 또한 이별이 되길 이런 나를 이해해요 그댈 미워 할수 밖에 없는날 그대가 난 눈물이 날만큼 부러웠었죠 꼭 하나만 바래요 날 대신해 그녈 영원히 지켜줘야 해요 내가 못 이룬 사랑 이제는 다 모두 이룰 그대 행복하길 그녀의 사랑이니까 이세상에 누구보다 그대 좋은 사람이길 바래요 나보다 더 그녀를 아끼고 사랑할 사람 꼭 하나만 바래요 날 대신해 그녈 영원히 지켜줘야 해요 내가 못 이룬 사랑 이제는 다 모두 이룰 그대 행복하길 그녀의 사랑이니까 꼭 하나 기억해요 이세상에 난 추억이 되어 잊혀지겠지만  오랜 간절함에도 내게 허락되지 않던 사람 모두 가진 바로 그대라는 걸
1999,쿨 (COOL),미절 (Misery),누가 좀 나를 도와 주세요  제발 한번만 날 살려주세요  이러다가 정말로  제 명에 죽지 못할것 같아요  내가 어디있는지 내가 무엇을  하고있든지  나의 여자친구는 어떻게 알고  귀신같이 나타나  보고싶어 그랬어 너를 너무  사랑하니까  함께 있고 싶은데 그런 적이 없잖아 착각하지 좀마 우린 그냥 사귀는 친구일 뿐이잖아 물론 친구보다 조금은 더 특별한 사인건 인정해 사랑이라는 건 소유할 수 없는데 왜 나를 괴롭혀 괴로워 하는 니가 더 오히려 이상해 미저리 미저리 무서워 내 청춘을 돌리도 내 미래를 뚫어줘요 전생에 무슨죄로 이렇게 너를 만나 고생바가지야 오리아리 알라리 알라리요조금만 나와 연락 안돼도  발칵 세상이 난리가 나지요 우리집의 가족들 내 친구 모두 그녀가 통화해 너무한다 싶어서 한번 이렇게 또 물어보았죠 뭐가 되고 싶냐고 그녀의 대답 나의 그림자래요 알고 있어 니맘을 이런 내가 귀찮아지는 걸 하지만 어쩔 수 없어 너를 버릴 순 없어 싹뚝 끊어버려 가위처럼 어긋난 우리의 인연들을 싹뚝 끊어버려 우리 처음 만났던 시간을 모두 다 자유 그것까진 바라지도 않을게 잠만 좀 재워줘 그러지 말고 모든걸 업보라 생각해 도와줘요 살려줘요 사는게 사는게 아니예요  그녀 괴롭힘에 친구들도 이제는 연락조차 안해요 정말 이리저리 뛰어봤자 그녀의 손바닥 안인걸 언젠가 알게 될거야 힘든 내 사랑을
1999,핑클 (Fin.K.L),영원한 사랑,이젠 내 사랑이 되어줘 내 모든걸 너에게 기대고 싶어 언제나 날 지켜줄 너라고 변치않는 영원한 사랑을 약속해줘 내겐 자신없는 듯 니 사랑을 감추며 돌아서지마 불안한 네 미래도 앞선 걱정일 뿐이야 좀더 나은 모습의 니가 되길 바라는 욕심은 없어 지금 네 사랑이면 난 정말 행복해 항상 나의곁에 있어줘 꼭 네게만 내꿈을 맡기고 싶어 들어봐 언제까지 내맘에 하나뿐인 소중한 그사람 너뿐이야 우리 함께 걸어갈 시간들이 어쩌면 힘들지 몰라 하지만 누구보다 너를 믿어줄 나잖아 이젠 네게 주고픈 소망들을 조금은 알수 있겠니 내 작은 가슴가득 너만을 사랑해 항상 나의곁에 있어줘 꼭 네게만 내꿈을 맡기고 싶어 들어봐 언제까지 내맘에 하나뿐인 소중한 그사람 내 두눈을 봐 이렇게 너의품에 안긴 내맘 그 누구보다 행복해 먼훗날 우리 눈감는 날까지 지금처럼 네사랑 내곁에 함께해줘
1999,김현정,되돌아온 이별,내겐 이런일 없을줄 알았어내 사랑을 얻기위해 나 상처 받는일너를 만나서 나는 모든걸 다 잃었어너 이렇게 변하려고 날 사랑한거니다 말을 해봐내 앞에 다신 나타나지마이젠 누구도 믿지 않겠어우리 이렇게 끝나버리면모두 얼마나 나를 비웃겠니난 잊었어 그녈 버릴수 있는 넌나도 버릴수 있었던 거야너에 마지막 내가 돼 달란 그말에나는 너만을 사랑했었는데네가 말해온 사랑이란게다 이런거니 변명은 하지마이건 나 아닌 누구도 이해못해내 용서를 바라지마네가 내게준 지금 눈물은다 너에게로 되돌아 갈꺼야너를 떠올릴 추억도 없는거야내 기억에서 사라져줘난 잊었어 그녈 버릴수 있는 넌나도 버릴수 있었던 거야너에 마지막 내가 돼 달란 그말에나는 너만을 사랑했었는데네가 말해온 사랑이란게다 이런거니 변명은 하지마이건 나 아닌 누구도 이해못해내 용서를 바라지마네가 내게준 지금 눈물은다 너에게로 되돌아 갈꺼야너를 떠올릴 추억도 없는거야내 기억에서 사라져줘
1999,유승준,열정,이제 나 내가 말하는 건  아주 커다란  내 가슴깊이 온통을  그렇게 자리한  너라는 내곁에 있는  날 바라보는  너에 대한 이야기야  나의 목소리야  널 향해 나는 소원해  그렇게 나는 원해 난 너를 원해  그렇게 나는 너 없인 난 어두워진  그런 시간 속에 헤메일 뿐  더 이상을 참지 못해  너를 향해 끝없이 소리쳐 부르는  내 가슴 깊은 사랑 노래  내 마음속에 하나하나 새겨지는  너라는 이름안에 그 모든 것  어떤 모습이라고 해도  너와 함께라면 나는 기쁠수 있어  이제 너의 그 마음을 내게 열어줘  이 세상에 나의 너보다  소중한 것이란건 내게  있을 수 없어  널 사랑해 너의 모든걸  나 영원토록 끝을 알수 없도록  끝을 알 수 없도록 끝나가는 이세기를  사람들은 말하지  사랑만으로 힘들지 다  세상은 얘기하지  하지만 난 변하지 그렇지  않을테니  내게는 바보들의 이야기는  상관없지  세상 마지막도 우리를  바꿀 수 없어  누구도 아무도 절대로 막을 수 없어 어떤 그 무엇도 널 대신 할 수가 없어 알수 있어 너를 향해 여전히 멈출수가 없는 내 가슴 깊은 곳의 사랑 노래 어떤 모습이라 해도 너와 함께라면 행복할 수가 있어 너만이 내 전부니까 나를 믿어줘 이 세상에 나의 너보다 소중한 것이란건 내게 있을 수 없어 널 사랑해 너의 모든걸 나 영원토록 끝을 알수 없도록 살아가며 겪어왔던 너의 슬픈 이별 얘기들 이젠 없어 마지막 사랑일테니까 이 세상에 나의 너보다 소중한 것이란건 내게 있을 수 없어 널 사랑해 너의 모든걸 나 영원토록 끝을 알수 없도록 이세상에I MIGHT TRY TO BE WITH YOU IN ALL THE WAY AND I CAN'T HELP THINKING ABOUT YOU EVERYDAY CAUSE I LOVE YOU AND I NEED YOU CAN I BE WITH YOU WHAT CAN I DO TO MAKE US TRUE 널 사랑해I AM GOING TO MAKE IT RIGHT WE ARE GOING TO KEEPIT TIGHT LET'S MAKE IT LAST ALL NIGHT LIKE JODECI COME AND TALK TO ME CAN YOU BE THE ONE FOR ME이 세상에 나의 너보다 소중한것 이란건 내게 있을 수 없어 널 사랑해 너의 모든걸 나 영원토록 끝을 알수 없도록
1999,조성모,불멸의 사랑,나 가진것 없지만널 사랑했다는 이유로저 다른세상힘에 겨워도후회하진 않을거야내 아름다운 사랑너 슬퍼도 울진 말아줘너 네게 줄 수 있는사랑을이젠 모두다 이뤘으니영원히 널 사랑해괜찮아 내 모든걸 준대도나 이 세상을 살아도너 없이는 힘이 들어남아있는 내 삶을널 위해 바칠게넌 어려워마그리고 행복하게 살아줘넌 몰랐을거야나의 존재도어서 자유를 찾아서멀리 떠나가줘그렇게 서 있지마늦기전에뒤돌아 볼 것도 없이날 잊어줘영원히 널 사랑해괜찮아 내 모든걸 준대도나 이 세상을 살아도너 없이는 힘이들어남아있는 내 삶을널 위해 바칠게넌 어려워마그리고 행복하게 살아줘행복하게 살아줘
1999,유리상자,신부에게,새하얀 드레스 수줍은 발걸음 꿈꾸는 설레임 나만을 믿고 내곁에 선 소중한 그대 차가운 시선이 우릴 막아설땐 슬퍼도 했지만 어느새 그댄 사랑으로 날 감싸주었죠 그대도 나도 아닌 다른 이유로 아파해야 했던 날 참아준 그대 약속할께요 더 이상의 눈물은 없을거란걸눈부신 아침도 오후의 향기도 까만 밤 하늘도 내곁에 있는 그대로 인해 아름다울 수 있죠 세상 모든 기쁨과 슬픔 또 사랑 함께 나눌 사람을 난 찾은거죠 약속할께요 더 이상의 외로움 없을거란걸 힘들었던만큼 넉넉한 행복들을 드릴꺼예요늘 지금처럼해맑은 웃음만 지어 주세요그대도 나도 아닌 다른 이유로아파해야 했던 날 참아준 그대약속할께요 더 이상의 눈물은없을거란걸세상 모든 기쁨과 슬픔 또 사랑함께 나눌 사람을 난 찾은거죠약속할께요 더 이상의 외로움없을거란걸
